id|code|description|name|parentnode_id|category_id|uid|order|discriminator
12|A31|.|Too short distance|3|.|12|.|PHENOTYPE
116|N22|Scheduled night driving (N2.2) Night driving makes it hard for the professional driver to follow the circadian rhythm.|Scheduled night driving|110|.|116|.|GENOTYPE
42|E31|Sleep disorders (E3.1) The driver suffers from a sleep disorder.|Sleep disorders|31|.|42|.|GENOTYPE
43|E41|Alcohol (E4.1) The driver is under the influence of alcohol.|Alcohol|32|.|43|.|GENOTYPE
44|E42|Drugs (E4.2) The driver is under the influence of non-prescribed drugs.|Drugs|32|.|44|.|GENOTYPE
45|E43|Medication (E4.3) The driver is under the influence of prescribed drugs.|Medication|32|.|45|.|GENOTYPE
47|E61|Epilepsy (E6.1) The driver suffers an epileptic seizure.|Epilepsy|34|.|47|.|GENOTYPE
48|E62|Diabetes (E6.2) The driver suffers a critically low concentration of insulin in the blood.|Diabetes|34|.|48|.|GENOTYPE
49|E63|Stroke (E6.3) The driver suffers a stroke.|Stroke|34|.|49|.|GENOTYPE
2|A2|Speed (A2) The travelling speed.|Speed|.|.|2|.|PHENOTYPE
17|B1|Missed observation (B1) Some information (signal, sign or event) is missed. The reason for this can either be that the information is hidden (e.g. behind something) or that it is not noticed by the driver (e.g. as the driver predicts that the driver coming from the left will give way he does not look that way).|Missed observation|.|1|17|.|GENERAL_GENOTYPE
27|D1|Priority error (D1) The driver prioritizes something else above safe arrival at the destination (e.g. uses the bus lane to save time or drives very fast to impress friends).|Priority error|.|.|27|.|GENERAL_GENOTYPE
3|A3|Distance (A3) The space between objects.|Distance|.|.|3|.|PHENOTYPE
50|E71|Peer pressure (E7.1) The driver experiences stress due to peer pressure.|Peer pressure|35|.|50|.|GENOTYPE
51|E72|Stressful life events (E7.2) The driver experiences stress due to stressful life events (e.g. receiving bad news, newly divorce, recent loss of a loved one).|Stressful life events|35|.|51|.|GENOTYPE
58|F11|Reduced vision (F1.1) The driverâ€™s ability is impaired due to reduced vision.|Reduced vision|52|.|58|.|GENOTYPE
59|F12|Reduced hearing (F1.2) The driverâ€™s ability is impaired due to reduced hearing.|Reduced hearing|52|.|59|.|GENOTYPE
60|F13|Reduced motor skills (F1.3) The driverâ€™s ability is impaired due to reduced motor skills.|Reduced motor skills|52|.|60|.|GENOTYPE
61|F14|Reduced cognitive capacity (F1.4) The driverâ€™s ability is impaired due to reduced cognitive capacity.|Reduced cognitive capacity|52|.|61|.|GENOTYPE
11|A22|Too low speed (A2.2) Driving too slowly.|Too low speed|2|.|11|.|PHENOTYPE
13|A41|Wrong direction (A4.1) The manoeuvre is made in the wrong direction.|Wrong direction|4|.|13|.|PHENOTYPE
14|A51|Surplus force (A5.1) Too much force is used.|Surplus force|5|.|14|.|PHENOTYPE
131|P41|Load (P4.1) Heavy load makes the vehicle behave unpredictably.|Load|127|.|131|.|GENOTYPE
20|B11|Tunnel vision (B1.1) The driverâ€™s peripheral vision is limited.|Tunnel vision|17|.|20|.|GENOTYPE
21|B21|Tunnel vision (B2.1) The driverâ€™s peripheral vision is limited.|Tunnel vision|18|.|21|.|GENOTYPE
74|G31|Dirty windows and/or dirty mirrors (G3.1) Dirty windows or dirty mirrors obstruct the driverâ€™s view.|Dirty windows and/or mirrors|69|.|74|.|GENOTYPE
75|G32|Luggage (G3.2) Luggage or other objects obstruct the driverâ€™s view.|Luggage|69|.|75|.|GENOTYPE
16|A61|Adjacent object (A6.1) An item/control in close proximity of the correct item is wrongly chosen.|Adjacent Object|6|.|16|.|PHENOTYPE
15|A52|Insufficient force (A5.2) Too little force is used.|Insufficient force|5|.|15|.|PHENOTYPE
76|G33|Passengers (G3.3) People or pets inside the vehicle obstruct the driverâ€™s view.|Passengers|69|.|76|.|GENOTYPE
77|G41|Temporary obstruction (G4.1) Temporary obstruction makes it difficult for the driver to reach one or more items/controls in the driver environment.|Temporary obstruction|70|.|77|.|GENOTYPE
82|H11|Weak light (H1.1) The light inside the vehicle is too weak.|Weak light|79|.|82|.|GENOTYPE
83|H21|Low sound signal (H2.1) The signals from different driver support systems inside the vehicle are too low.|Low sound signal|80|.|83|.|GENOTYPE
89|J11|Low sun (J1.1) Low sun facing the driver makes it difficult to see.|Low sun|87|.|89|.|GENOTYPE
101|L21|Low noise tarmac in rain (L2.1) Low noise tarmac, that has become wet, makes the road surface very slippery.|Low noise tarmac in rain|96|.|101|.|GENOTYPE
103|L41|Animals (L4.1) Animals, dead or alive, are on the road.|Animals|98|.|103|.|GENOTYPE
113|N11|Being late (N1.1) Being late for a professional or private appointment makes the private driver experience time pressure.|Being late|109|.|113|.|GENOTYPE
114|N12|Inadequate time schedule (N1.2) Working under tight time margins for pick-ups and deliveries makes the professional driver feel pressured to exceed the legal speed limit and/or the legal number of working hours.|Inadequate time schedule|109|.|114|.|GENOTYPE
39|E23|Attention allocation towards non-driving related event other than the critical event INSIDE vehicle (E2.3) The driver is distracted by a non driving-related object or event inside the vehicle.|Attention allocation towards non-driving related event other than the critical event INSIDE vehicle|30|.|39|.|GENOTYPE
40|E24|Attention allocation towards non-driving related event other than the critical event OUTSIDE vehicle (E2.4) The driver is distracted by a non driving-related object or event outside the vehicle.|Attention allocation towards non-driving related event other than the critical event OUTSIDE vehicle|30|.|40|.|GENOTYPE
41|E25|Intentional gaze blocking (hiding from the law) (E2.5) The driver is covering his eyes/face to avoid identification|Intentional gaze blocking (hiding from the law)|30|.|41|.|GENOTYPE
115|N21|Night shift (N2.1) Working night shift forces the private driver to drive home during the circadian morning dip.|Night shift|110|.|115|.|GENOTYPE
81|H3|Permanent sight obstruction (H3) The view is permanently obstructed by parts of the vehicle.|Permanent sight obstruction|.|.|81|.|GENERAL_GENOTYPE
85|I1|Equipment failure (I1) Some piece of equipment (e.g. tyres, steering, brake system or lighting) does not perform as intended or does not work at all (because it has broken).|Equipment failure|.|.|85|.|GENERAL_GENOTYPE
87|J1|Reduced visibility (J1) The visibility is reduced due to low sun, fog, darkness etc.|Reduced visibility|.|.|87|.|GENERAL_GENOTYPE
88|J2|Strong side wind (J2) The stability of the vehicle is affected by strong side wind|Strong side wind|.|.|88|.|GENERAL_GENOTYPE
91|K1|Temporary obstruction of view (K1) Objects (e.g. driven or parked vehicles, gatherings of people) in the traffic environment cause temporary obstruction of view.|Temporary obstruction of view|.|.|91|.|GENERAL_GENOTYPE
92|K2|Permanent obstruction of view (K2) Objects (e.g. buildings, fences, signs, vegetation) in the traffic environment cause permanent obstruction of view.|Permanent obstruction of view|.|.|92|.|GENERAL_GENOTYPE
7|A11|Too early action (A1.1) The action is initiated too early, before the signal is given or the required conditions are established.|Too early action|1|.|7|.|PHENOTYPE
1|A1|Timing (A1) The timing for initiating an action.|Timing|.|.|1|.|PHENOTYPE
4|A4|Direction (A4) The direction of the vehicle.|Direction|.|.|4|.|PHENOTYPE
5|A5|Force (A5) The force with which an action is conducted.|Force|.|.|5|.|PHENOTYPE
6|A6|Object (A6) An item or a control.|Object|.|.|6|.|PHENOTYPE
8|A12|Too late action (A1.2) The action is initiated too late.|Too late action|1|.|8|.|PHENOTYPE
9|A13|No action (A1.3) No action is initiated.|No action|1|.|9|.|PHENOTYPE
10|A21|Too high speed (A2.1) Driving too fast. |Too high speed|2|.|10|.|PHENOTYPE
18|B2|Late observation (B2) The observation of some information (signal, sign or event) is correct but late, i.e. when the observation is made there is insufficient time to act in an optimal way (e.g. brake to avoid a collision).|Late observation|.|1|18|.|GENERAL_GENOTYPE
24|C2|Misjudgement of situation (C2) The situation is misjudged (e.g. the driver thinks that it is safe to enter the intersection as he/she has not noticed the traffic lights turning red or the vehicle approaching).|Misjudgement of situation|.|.|24|.|GENERAL_GENOTYPE
29|E1|Fear (E1) Being afraid of something or being scared by a sudden event (e.g. the lead vehicle making an emergency brake or an animal jumping onto the road in front of you).|Fear|.|.|29|.|GENERAL_GENOTYPE
31|E3|Fatigue (E3) Being sleepy, tired or exhausted (mentally or physically).|Fatigue|.|.|31|.|GENERAL_GENOTYPE
